title,price,rating,rating_distribution,link
Procesor AMD Ryzen 3 3200G 3.6GHz tray,"549,78 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-3-3200g-36ghz-tray/
"Procesor Intel Comet Lake, Pentium Gold G6500 4.1GHz box","555,95 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/comet-lake-pentium-gold-g6500-41ghz-box/
"Procesor Intel Comet Lake, Pentium Gold G6600 4.2GHz box","629,27 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/comet-lake-pentium-gold-g6600-42ghz-box/
"Procesor Intel Comet Lake, Pentium Gold G6605 4.3GHz box","629,27 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/comet-lake-pentium-gold-g6605-43ghz-box/
Procesor AMD Ryzen 3 3200G 3.6GHz MPK,"699,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-3-3200g-36ghz-mpk/
Procesor AMD Ryzen 3 3300X 3.8GHz box,"765,63 RON",5,{5: 7},https://www.pcgarage.ro/procesoare/amd/ryzen-3-3300x-38ghz-box/
Procesor AMD Ryzen 5 8400F 4.2 GHz tray,"797,76 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-8400f-42-ghz-tray/
Procesor AMD Ryzen 5 PRO 3350G 3.6GHz,"801,24 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-pro-3350g-36ghz-mpk/
Procesor AMD Ryzen 5 8400F 4.2 GHz MPK,"826,30 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-8400f-42-ghz-mpk/
Procesor AMD Ryzen 5 2400G 3.6GHz box,"830,35 RON",4.82,"{5: 19, 4: 2, 3: 1}",https://www.pcgarage.ro/procesoare/amd/ryzen-5-2400g-36ghz-box/
